Title,Author,Rating
The Shipping News,"Proulx, Annie",3.87
Brief Interviews with Hideous Men,"Wallace, David Foster",3.84
"So Long, and Thanks for All the Fish
        (The Hitchhiker's Guide to the Galaxy, #4)","Adams, Douglas",4.09
"Life, the Universe and Everything
        (The Hitchhiker's Guide to the Galaxy, #3)","Adams, Douglas",4.18
"The Restaurant at the End of the Universe
        (Hitchhiker's Guide to the Galaxy, #2)","Adams, Douglas",4.21
The Brothers Karamazov,"Dostoevsky, Fyodor",4.36
"Light Bringer
        (Red Rising Saga, #6)","Brown, Pierce",4.54
Buried in the Sky: The Extraordinary Story of the Sherpa Climbers on K2's Deadliest Day,"Zuckerman, Peter",4.2
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,"Haidt, Jonathan",4.25
"Iron Gold
        (Red Rising Saga, #4)","Brown, Pierce",4.23
The Psychology of Money,"Housel, Morgan",4.37
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,"Zuboff, Shoshana",4.06
"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World","Wohlleben, Peter",4.07
A Cat At the End of the World,"Perišić, Robert",4.37
"Poverty, by America","Desmond, Matthew",4.32
"Children of Memory
        (Children of Time, #3)","Tchaikovsky, Adrian",4.1
Slaughterhouse-Five,"Vonnegut Jr., Kurt",4.09
The Sovereign Individual: Mastering the Transition to the Information Age,"Davidson, James Dale",4.2
The Three Languages of Politics,"Kling, Arnold",3.91
The Righteous Mind: Why Good People Are Divided by Politics and Religion,"Haidt, Jonathan",4.21
"The Handmaid’s Tale
        (The Handmaid's Tale, #1)","Atwood, Margaret",4.13
The Invention of Nature: Alexander von Humboldt's New World,"Wulf, Andrea",4.3
"How the World Really Works: A Scientist's Guide to Our Past, Present and Future","Smil, Vaclav",3.99
No Rules Rules: Netflix and the Culture of Reinvention,"Hastings, Reed",4.29
Out of Thin Air: Running Wisdom and Magic from Above the Clouds in Ethiopia,"Crawley, Michael",4.22
"Never Enough: A Navy SEAL Commander on Living a Life of Excellence, Agility, and Meaning","Hayes, Mike",4.25
In the Shadow of the Mountain,"Vasquez-Lavado, Silvia",4.28
Burn Rate: Launching a Startup and Losing My Mind,"Dunn, Andy",4.43
The Constitution of Knowledge: A Defense of Truth,"Rauch, Jonathan",4.26
Leadership : Six Studies in World Strategy,"Kissinger, Henry",4.22
How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,"Gates, Bill",4.14
Citizens: Why the Key to Fixing Everything is All of Us,"Alexander, Jon",4.1
Cultish: The Language of Fanaticism,"Montell, Amanda",3.92
"Bone, Vol. 1: Out from Boneville
        (Bone, #1)","Smith, Jeff",4.19
"The Dark Forest
        (Remembrance of Earth’s Past, #2)","Liu, Cixin",4.41
"Moral Tribes: Emotion, Reason, and the Gap Between Us and Them","Greene, Joshua D.",4.03
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,"Yong, Ed",4.48
Bullshit Jobs: A Theory,"Graeber, David",4.04
"Drunk: How We Sipped, Danced, and Stumbled Our Way to Civilization","Slingerland, Edward",3.82
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World","Johnson, Steven",3.89
Stolen Focus: Why You Can't Pay Attention- and How to Think Deeply Again,"Hari, Johann",4.26
The Count of Monte Cristo: Abridged Edition,"Dumas, Alexandre",4.29
"Where You'll Find Me: Risk, Decisions, and the Last Climb of Kate Matrosova","Gagne, Ty",4.44
Critical Hours: Search and Rescue in the White Mountains,"Stott, Sandy",4.03
We Learn Nothing,"Kreider, Tim",4.16
Tribe: On Homecoming and Belonging,"Junger, Sebastian",4.02
Mythologies,"Barthes, Roland",4.09
Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,"Oreskes, Naomi",4.17
The Sixth Extinction: An Unnatural History,"Kolbert, Elizabeth",4.15
Song of Solomon,"Morrison, Toni",4.13
"Gilead
        (Gilead, #1)","Robinson, Marilynne",3.85
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,4.38
The World Played Chess,"Dugoni, Robert",4.48
The Uninhabitable Earth: Life After Warming,"Wallace-Wells, David",4.02
"Walking to Listen: 4,000 Miles Across America, One Story at a Time","Forsthoefel, Andrew",3.9
The Color of Law: A Forgotten History of How Our Government Segregated America,"Rothstein, Richard",4.45
"Causality: Models, Reasoning, and Inference","Pearl, Judea",4.14
"Oryx and Crake
        (MaddAddam, #1)","Atwood, Margaret",4.01
The Corrections,"Franzen, Jonathan",3.83
As We Speak:  How to Make your Point and Have It Stick,"Meyers, Peter",4.22
Hydroponics: A Practical Guide for the Soilless Grower,"Jr., J. Benton Jones",4.2
Everything I Want To Do Is Illegal: War Stories from the Local Food Front,"Salatin, Joel",4.17
On Fire: The Case for the Green New Deal,"Klein, Naomi",4.19
The Book of Why: The New Science of Cause and Effect,"Pearl, Judea",3.93
A More Beautiful Question: The Power of Inquiry to Spark Breakthrough Ideas,"Berger, Warren",3.96
The Choice: Embrace the Possible,"Eger, Edith",4.58
Hood Feminism: Notes from the Women That a Movement Forgot,"Kendall, Mikki",4.39
A Room of One’s Own,"Woolf, Virginia",4.2
"Anarchy, State, and Utopia","Nozick, Robert",3.75
Seven And A Half Lessons About The Brain,"Barrett, Lisa Feldman",4.05
Infinite Jest,"Wallace, David Foster",4.26
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,"Potts, Rolf",3.95
"The Vital Question: Energy, Evolution, and the Origins of Complex Life","Lane, Nick",4.18
Optionality: How to Survive and Thrive in a Volatile World,"Meadows, Richard",4.28
Moneyball,"Lewis, Michael",4.26
Predictably Irrational: The Hidden Forces That Shape Our Decisions,"Ariely, Dan",4.12
The Immortal Life of Henrietta Lacks,"Skloot, Rebecca",4.1
